timestamp,open,close,high,low,volume
2020-07-13T14:25:00-04:00,1.370,1.360,1.370,1.360,759
2020-07-13T14:30:00-04:00,1.380,1.430,1.430,1.380,2800
2020-07-13T14:35:00-04:00,1.430,1.470,1.470,1.420,7650
2020-07-13T14:40:00-04:00,1.480,1.445,1.485,1.445,5723
2020-07-13T14:45:00-04:00,1.460,1.570,1.570,1.455,8089
2020-07-13T14:50:00-04:00,1.570,1.555,1.580,1.520,2800
2020-07-13T14:55:00-04:00,1.530,1.510,1.540,1.500,1514
2020-07-13T15:05:00-04:00,1.520,1.600,1.600,1.520,2350
2020-07-13T15:10:00-04:00,1.610,1.580,1.630,1.580,3485
2020-07-13T15:15:00-04:00,1.580,1.660,1.680,1.580,2583
2020-07-13T15:20:00-04:00,1.660,1.780,1.780,1.660,11450
2020-07-13T15:25:00-04:00,1.760,1.660,1.765,1.630,6780
2020-07-13T15:30:00-04:00,1.690,1.800,1.840,1.690,16362
2020-07-13T15:35:00-04:00,1.800,1.750,1.800,1.690,5110
2020-07-13T15:40:00-04:00,1.720,1.680,1.740,1.660,7797
2020-07-13T15:45:00-04:00,1.675,1.515,1.675,1.510,27908
2020-07-13T15:50:00-04:00,1.530,1.580,1.620,1.530,9963
2020-07-13T15:55:00-04:00,1.600,1.530,1.600,1.520,9681
2020-07-13T16:50:00-04:00,1.610,1.610,1.610,1.610,100
2020-07-13T17:15:00-04:00,1.850,1.850,1.850,1.850,200
2020-07-14T08:05:00-04:00,1.860,1.860,1.860,1.860,11300
2020-07-14T08:10:00-04:00,1.860,1.860,1.860,1.860,8500
2020-07-14T08:15:00-04:00,1.860,1.860,1.860,1.860,2500
2020-07-14T08:20:00-04:00,1.860,1.860,1.860,1.860,4508
2020-07-14T08:40:00-04:00,1.770,1.770,1.770,1.770,500
2020-07-14T08:45:00-04:00,1.740,1.750,1.750,1.740,9000
2020-07-14T08:50:00-04:00,1.720,1.720,1.720,1.720,7800
2020-07-14T08:55:00-04:00,1.720,1.720,1.720,1.720,3125
2020-07-14T09:00:00-04:00,1.750,1.800,1.800,1.750,5887
2020-07-14T09:05:00-04:00,1.800,1.800,1.800,1.800,6000
2020-07-14T09:10:00-04:00,1.750,1.750,1.750,1.750,1600
2020-07-14T09:15:00-04:00,1.710,1.700,1.710,1.700,1300
2020-07-14T09:25:00-04:00,1.670,1.670,1.670,1.670,500
2020-07-14T09:30:00-04:00,1.840,1.940,1.940,1.770,5743
2020-07-14T09:35:00-04:00,1.935,2.080,2.100,1.840,21953
2020-07-14T09:40:00-04:00,2.060,2.120,2.170,1.980,13067
2020-07-14T09:45:00-04:00,2.110,2.190,2.390,2.110,30961
2020-07-14T09:50:00-04:00,2.200,2.180,2.255,2.130,15324
2020-07-14T09:55:00-04:00,2.100,2.160,2.160,2.080,7058
2020-07-14T10:00:00-04:00,2.160,2.120,2.170,2.040,10820
2020-07-14T10:05:00-04:00,2.195,2.260,2.300,2.165,13838
2020-07-14T10:10:00-04:00,2.260,2.310,2.320,2.180,15779
2020-07-14T10:15:00-04:00,2.340,2.230,2.340,2.220,6854
2020-07-14T10:20:00-04:00,2.260,2.400,2.450,2.260,11985
2020-07-14T10:25:00-04:00,2.450,2.550,2.590,2.330,35161
2020-07-14T10:30:00-04:00,2.570,2.660,2.730,2.570,26105
2020-07-14T10:35:00-04:00,2.690,2.380,2.700,2.360,29108
2020-07-14T10:40:00-04:00,2.390,2.310,2.420,2.290,18180
2020-07-14T10:45:00-04:00,2.300,2.405,2.405,2.300,12829
2020-07-14T10:50:00-04:00,2.395,2.330,2.395,2.290,7178
2020-07-14T10:55:00-04:00,2.300,2.180,2.310,2.160,17791
2020-07-14T11:00:00-04:00,2.200,2.260,2.270,2.170,14116
2020-07-14T11:05:00-04:00,2.330,2.290,2.350,2.280,4424
2020-07-14T11:10:00-04:00,2.270,2.300,2.360,2.270,4600
2020-07-14T11:15:00-04:00,2.320,2.440,2.460,2.320,10517
2020-07-14T11:20:00-04:00,2.420,2.320,2.420,2.285,16801
2020-07-14T11:25:00-04:00,2.300,2.290,2.320,2.250,4200
2020-07-14T11:30:00-04:00,2.280,2.200,2.290,2.200,3900
2020-07-14T11:35:00-04:00,2.240,2.250,2.250,2.240,2650
2020-07-14T11:40:00-04:00,2.225,2.210,2.245,2.190,2500
2020-07-14T11:45:00-04:00,2.240,2.180,2.250,2.180,4500
